symbol,currency,exchange_timezone,exchange,mic_code,type,datetime,open_value,high_value,low_value,close_value,volume,datetime_load
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-04-05,169.59,170.39,168.95,169.58,42055200,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-04-04,170.29,171.92,168.82,168.82,53704400,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-04-03,168.79,170.68,168.58,169.65,47602100,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-04-02,169.08,169.34,168.23,168.84,49329500,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-04-01,171.19,171.25,169.48,170.03,46240500,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-28,171.75,172.23,170.51,171.48,65672700,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-27,170.41,173.6,170.11,173.31,60273300,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-26,170.0,171.42,169.58,169.71,57388400,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-25,170.57,171.94,169.45,170.85,54288300,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-22,171.76,173.05,170.06,172.28,71106600,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-21,177.05,177.49,170.84,171.37,106181300,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-20,175.72,178.67,175.09,178.67,53423100,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-19,174.34,176.61,173.03,176.08,55215200,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-18,175.57,177.71,173.52,173.72,75604200,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-15,171.17,172.62,170.29,172.62,121664700,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-14,172.91,174.31,172.05,173.0,72913500,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-13,172.77,173.19,170.76,171.13,52488700,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-12,173.15,174.03,171.01,173.23,59825400,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-11,172.94,174.38,172.05,172.75,60139500,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-08,169.0,173.7,168.94,170.73,76114600,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-07,169.15,170.73,168.49,169.0,71765100,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-06,171.06,171.24,168.68,169.12,68587700,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-05,170.76,172.04,169.62,170.12,95132400,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-04,176.15,176.9,173.79,175.1,81510100,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-01,179.55,180.53,177.38,179.66,73488000,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-29,181.27,182.57,179.53,180.75,136682600,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-28,182.51,183.12,180.13,181.42,48953900,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-27,181.1,183.92,179.56,182.63,54318900,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-26,182.24,182.76,180.65,181.16,40867400,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-23,185.01,185.04,182.23,182.52,45119700,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-22,183.48,184.96,182.46,184.37,52292200,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-21,181.94,182.89,180.66,182.32,41529700,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-20,181.79,182.43,180.0,181.56,53665600,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-16,183.42,184.85,181.67,182.31,49701400,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-15,183.55,184.49,181.35,183.86,65434500,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-14,185.32,185.53,182.44,184.15,54630500,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-13,185.77,186.21,183.51,185.04,56529500,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-12,188.42,188.67,186.79,187.15,41781900,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-09,188.65,189.99,188.0,188.85,45155200,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-08,189.39,189.54,187.35,188.32,40962000,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-07,190.64,191.05,188.61,189.41,53439000,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-06,186.86,189.31,186.77,189.3,43490800,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-05,188.15,189.25,185.84,187.68,69668800,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-02,179.86,187.33,179.25,185.85,102518000,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-01,183.99,186.95,183.82,186.86,64885400,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-31,187.04,187.1,184.35,184.4,55467800,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-30,190.94,191.8,187.47,188.04,55859400,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-29,192.01,192.2,189.58,191.73,47145600,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-26,194.27,194.76,191.94,192.42,44594000,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-25,195.22,196.27,193.11,194.17,54822100,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-24,195.42,196.38,194.34,194.5,53631300,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-23,195.02,195.75,193.83,195.18,42355600,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-22,192.3,195.33,192.26,193.89,60133900,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-19,189.33,191.95,188.82,191.56,68741000,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-18,186.09,189.14,185.83,188.63,78005800,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-17,181.27,182.93,180.3,182.68,47317400,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-16,182.16,184.26,180.93,183.63,65603000,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-12,186.06,186.74,185.19,185.92,40444700,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-11,186.54,187.05,183.62,185.59,49128400,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-10,184.35,186.4,183.92,186.19,46792900,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-09,183.92,185.15,182.73,185.14,42841800,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-08,182.09,185.6,181.5,185.56,59144500,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-05,181.99,182.76,180.17,181.18,62303300,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-04,182.15,183.09,180.88,181.91,71983600,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-03,184.22,185.88,183.43,184.25,58414500,2024-04-06 10:29:30
AAPL,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-02,187.15,188.44,183.89,185.64,82488700,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-04-05,182.38,186.27,181.97,185.07,42335200,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-04-04,184.0,185.1,180.0,180.0,41624300,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-04-03,179.9,182.87,179.8,182.41,30959800,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-04-02,179.07,180.79,178.38,180.69,32611500,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-04-01,180.79,183.0,179.95,180.97,29174500,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-28,180.17,181.7,179.26,180.38,38051600,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-27,179.88,180.0,177.31,179.83,33272600,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-26,180.15,180.45,177.95,178.3,29659000,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-25,178.01,180.99,177.24,179.71,29815500,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-22,177.75,179.26,176.75,178.87,27964100,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-21,179.99,181.42,178.15,178.15,32824300,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-20,176.14,178.53,174.64,178.15,29947200,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-19,174.22,176.09,173.52,175.9,26880900,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-18,175.8,176.69,174.28,174.48,31250700,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-15,176.64,177.93,173.9,174.42,72115500,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-14,177.69,179.53,176.47,178.75,43705800,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-13,175.9,177.62,175.55,176.56,30772600,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-12,173.5,176.76,171.98,175.39,36610600,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-11,174.31,174.47,171.47,171.96,28484800,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-08,176.44,178.79,174.33,175.35,37853500,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-07,174.83,177.99,173.72,176.82,34063300,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-06,175.54,176.46,173.26,173.51,32090900,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-05,176.93,176.93,173.3,174.12,37228300,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-04,177.53,180.14,177.49,177.58,37381500,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-01,176.75,178.73,176.07,178.22,31956200,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-29,173.01,177.22,172.85,176.76,53805400,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-28,172.44,174.05,172.27,173.16,28180500,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-27,174.08,174.62,172.86,173.54,31141700,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-26,175.7,176.37,174.26,174.73,44368600,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-23,174.28,175.75,173.7,174.99,59715200,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-22,173.1,174.8,171.77,174.58,55392400,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-21,168.94,170.23,167.14,168.59,44575600,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-20,167.83,168.71,165.74,167.08,41980300,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-16,168.74,170.42,167.17,169.51,48074600,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-15,170.58,171.17,167.59,169.8,49855200,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-14,169.21,171.21,168.28,170.98,42815500,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-13,167.73,170.95,165.75,168.64,56345100,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-12,174.8,175.39,171.54,172.34,51050400,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-09,170.9,175.0,170.58,174.45,56986000,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-08,169.65,171.43,168.88,169.84,42316500,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-07,169.48,170.88,168.94,170.53,47174100,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-06,169.39,170.71,167.65,169.15,42505500,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-05,170.2,170.55,167.7,170.31,55081300,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-02,169.19,172.5,167.33,171.81,117154900,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-02-01,155.87,159.76,155.62,159.28,76542400,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-31,157.0,159.01,154.81,155.2,50284400,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-30,160.7,161.73,158.49,159.0,45207400,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-29,159.34,161.29,158.9,161.26,45270400,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-26,158.42,160.72,157.91,159.12,51047400,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-25,156.95,158.51,154.55,157.75,43638600,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-24,157.8,158.51,156.48,156.87,48547300,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-23,154.85,156.21,153.93,156.02,37986000,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-22,156.89,157.05,153.9,154.78,43687500,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-19,153.83,155.76,152.74,155.34,51033700,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-18,152.77,153.78,151.82,153.5,37850200,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-17,151.49,152.15,149.91,151.71,34953400,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-16,153.53,154.99,152.15,153.16,41384600,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-12,155.39,156.2,154.01,154.62,40460300,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-11,155.04,157.17,153.12,155.18,49072700,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-10,152.06,154.42,151.88,153.73,44421800,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-09,148.33,151.71,148.21,151.37,43812600,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-08,146.74,149.4,146.15,149.1,46757100,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-05,144.69,146.59,144.53,145.24,45124800,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-04,145.59,147.38,144.05,144.57,56039800,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-03,149.2,151.05,148.33,148.47,49425500,2024-04-06 10:29:30
AMZN,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-01-02,151.54,152.38,148.39,149.93,47339400,2024-04-06 10:29:30
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-04-05,169.08,170.86,160.51,164.9,141250700,2024-04-06 10:29:30
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-04-04,170.07,177.19,168.01,171.11,123162000,2024-04-06 10:29:30
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-04-03,164.02,168.82,163.28,168.38,82578000,2024-04-06 10:29:30
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-04-02,164.75,167.69,163.43,166.63,116650600,2024-04-06 10:29:30
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-04-01,176.17,176.75,170.21,175.22,81562100,2024-04-06 10:29:30
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-28,177.45,179.57,175.3,175.79,77654800,2024-04-06 10:29:30
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-27,181.41,181.91,176.0,179.83,81804000,2024-04-06 10:29:30
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-26,178.58,184.25,177.38,177.67,113186200,2024-04-06 10:29:30
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-25,168.76,175.24,168.73,172.63,74228600,2024-04-06 10:29:30
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-22,166.69,171.2,166.3,170.83,75454700,2024-04-06 10:29:30
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-21,176.39,178.18,171.8,172.82,73178000,2024-04-06 10:29:30
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-20,173.0,176.25,170.82,175.66,83846700,2024-04-06 10:29:30
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-19,172.36,172.82,167.42,171.32,77271400,2024-04-06 10:29:30
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-18,170.02,174.72,165.9,173.8,108214400,2024-04-06 10:29:30
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-15,163.16,165.18,160.76,163.57,96971900,2024-04-06 10:29:30
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-14,167.77,171.17,160.51,162.5,126325700,2024-04-06 10:29:30
TSLA,USD,America/New_York,NASDAQ,XNGS,Common Stock,2024-03-13,173.05,176.05,169.15,169.48,106524500,2024-04-06 10:29:30
